Node;Stake;;;247424142.6
NodeID-2rsWfeyECbxExQUEcrok2ff8d3tDz74PJ;257291.53;;;
NodeID-FBpqJd8iJqDk7QpLTWCFV4KiCnFaFQ6LR;257000;;;
NodeID-J4NNvkEUScCLYG4aN7eW5RYx15vSCHrui;256694;;;
NodeID-8TArWpFgH3sazEH8qP4gUjtGtFMvjw1aR;256197.44;;;
NodeID-DpXBTEP6ZCmm5bgBbv2rb6MzdRovARVhi;253759.3;;;
NodeID-PG8TiBeDenummzCUcWSNsoJ61PezxApYs;250000;;;
NodeID-DvE7LMqVtcZZG5qN4YUJaERaxBujtKbhT;250000;;;
NodeID-8rEmSGNj5VW2HUjGYMyynpWTYJuDrMpFE;249907.36;;;
Allnodes / Fluffy Chough;249757.76;;;
NodeID-LRBqzoj2mB8eD4AHE2oCTBziNdssTfxuf;249451.17;;;
(Genesis Entities) / 038;248351.55;;;
NodeID-DoTTJmp8cmERizJdYQGFsPVFgZPJxfcis;85948.67;;;
NodeID-GFpbV4ApFkQUxfVDcaYmv6MLPRmszT7pP;85758.58;;;
The Grand / 001;85752.95;;;
NodeID-HUhV9p89bxuTcQ19x827SaL1eX7tg5zgk;84678.7;;;
Allnodes / Brown Heron;84608.84;;;
NodeID-6iDj4CGyfiZjKF6RqFgfvfZgqkiKiNT7Y;83965.57;;;
NodeID-JRNiPWVdV7Vq7MzBmAQB4jekNTfvRAedj;82632.61;;;
nordcourt.com / Thor;81581.71;;;
NodeID-CgbgB1UFpUESETV1CVGDM17bE9JA4tVHK;80000;;;
NodeID-BxzE2rHWw4hBSTVqP17p9earG4qYKpCwv;79807.5;;;
Allnodes / Prickly Mink;79793.71;;;
NodeID-KwWsJneoQZaVzUaUjjkKDj44BxJqoXT7D;78639.46;;;
NodeID-G36seLQVfXnaUgaNobbSWg8anRta2WUwE;76960.06;;;
NodeID-C9CJ3oVhdeLf2Db71JPuzvEUKjy3BdoAA;75915.12;;;
NodeID-C9FY2J7xE6f6sGSaThsmcWva6FU5y5Qi5;75595.2;;;
NodeID-CYdCC4uTyAmEHW2CNB6oivzBtzqJn55mS;75000;;;
Allnodes / Fluffy Mink;74957.5;;;
NodeID-24o2u5XNQzS4cP3Wh2krGHChfoTLwJ9u7;73662.25;;;
NodeID-g2LFFdkWJjZi4554GBNprWUepqKxm;73353.75;;;
Allnodes / Hungry Walrus;73284.49;;;
Olympus;71430.44;;;
NodeID-Gx4oY9nZmAzJrHUfobrmuK9LrJhwejykC;71090.23;;;
Join the rocket! Very high uptime great staking fees! / Validate to the MOON;67775.59;;;
The Alchemist / Stake ;67070.3;;;
NodeID-KVB8F5Gy8adXA2zCg3i3m3qJ23NoCDDiA;66601.81;;;
(Genesis Entities) / 008;66000;;;
NodeID-7seuWZpGnhEox3dL8T363sghDtCT5UNp4;66000;;;
NodeID-5Uf5RUZ89pWtYj4Sgc7pxf1mkq2f4EEMW;65032;;;
Allnodes / Savage Octopus;65025;;;
NodeID-BTUXn6xfxjtA8P4nXYHiwEJpso9Q9t8FZ;63887.87;;;
NodeID-Aa6HmCaYwZzNoNXRf2xd1aqgtaWdnnryn;63660.37;;;
NodeID-Baof3ssuxMwMHxd3RXpNwiWmRdskL3hLD;63090.52;;;
NodeID-N95GoeyiprvxNj6E3G8QvYg3gpQ7x8NKE;62800;;;
NodeID-AGEnkaodYJksMTnwS8LHHD2X7MDQBSMJU;62502.25;;;
NodeID-N1ZQvBrWWmu5TryPdQphR3mcxNouZoaL7;62436.79;;;
NodeID-7JijGwmqUuditkaCwdcCAr4Xc6AAMy89A;62291.63;;;
Zero One Validator;62269.75;;;
NodeID-NrVSfY4zCbPjYTe4XPjmQB7qLJhYW3V6h;61098.1;;;
NodeID-Nom39tjDi1Vf51VxuaZvJiDeQHwbyg6MU;60303.59;;;
Phoenix / Digital Cleavage;60000;;;
Allnodes / Cute Ram;60000;;;
NodeID-B9o1a3g4PFp4JWyMJxRv2nvnWHsq1rSvC;59875;;;
NodeID-4GFFG65jrNUU3X6vsZKgUhmz5iCG21nyS;59619.23;;;
